,job,machine,start,end,width
0,1.0,1.0,0.0,72.0,72.0
1,5.0,2.0,0.0,50.0,50.0
2,7.0,3.0,0.0,29.0,29.0
3,7.0,4.0,29.0,125.0,96.0
4,8.0,3.0,29.0,119.0,90.0
5,2.0,1.0,72.0,133.0,61.0
6,1.0,2.0,72.0,136.0,64.0
7,10.0,3.0,119.0,163.0,44.0
8,7.0,1.0,133.0,232.0,99.0
9,2.0,4.0,133.0,160.0,27.0
10,2.0,5.0,160.0,248.0,88.0
11,1.0,3.0,163.0,218.0,55.0
12,1.0,4.0,218.0,249.0,31.0
13,9.0,3.0,218.0,315.0,97.0
14,4.0,1.0,232.0,240.0,8.0
15,7.0,2.0,232.0,246.0,14.0
16,8.0,1.0,240.0,259.0,19.0
17,4.0,2.0,246.0,328.0,82.0
18,7.0,5.0,248.0,282.0,34.0
19,6.0,1.0,259.0,312.0,53.0
20,8.0,4.0,259.0,346.0,87.0
21,7.0,8.0,282.0,296.0,14.0
22,1.0,5.0,282.0,335.0,53.0
23,7.0,6.0,296.0,303.0,7.0
24,7.0,7.0,303.0,379.0,76.0
25,5.0,1.0,312.0,406.0,94.0
26,2.0,3.0,315.0,393.0,78.0
27,9.0,2.0,328.0,427.0,99.0
28,1.0,6.0,335.0,430.0,95.0
29,4.0,5.0,335.0,362.0,27.0
30,4.0,4.0,362.0,461.0,99.0
31,8.0,5.0,362.0,413.0,51.0
32,7.0,9.0,379.0,436.0,57.0
33,6.0,7.0,379.0,409.0,30.0
34,10.0,1.0,406.0,466.0,60.0
35,6.0,3.0,409.0,416.0,7.0
36,2.0,2.0,427.0,476.0,49.0
37,9.0,5.0,427.0,520.0,93.0
38,1.0,7.0,430.0,441.0,11.0
39,5.0,6.0,430.0,473.0,43.0
40,7.0,10.0,436.0,512.0,76.0
41,1.0,8.0,441.0,493.0,52.0
42,4.0,7.0,461.0,535.0,74.0
43,6.0,4.0,461.0,473.0,12.0
44,10.0,9.0,466.0,495.0,29.0
45,3.0,1.0,466.0,552.0,86.0
46,5.0,4.0,473.0,535.0,62.0
47,2.0,6.0,476.0,559.0,83.0
48,8.0,2.0,476.0,560.0,84.0
49,1.0,9.0,495.0,501.0,6.0
50,1.0,10.0,512.0,596.0,84.0
51,5.0,5.0,535.0,590.0,55.0
52,10.0,4.0,535.0,540.0,5.0
53,10.0,7.0,540.0,614.0,74.0
54,9.0,1.0,552.0,590.0,38.0
55,3.0,4.0,552.0,584.0,32.0
56,2.0,9.0,559.0,650.0,91.0
57,4.0,6.0,559.0,568.0,9.0
58,6.0,2.0,560.0,628.0,68.0
59,4.0,3.0,568.0,601.0,33.0
60,8.0,6.0,568.0,613.0,45.0
61,5.0,8.0,590.0,638.0,48.0
62,4.0,10.0,601.0,621.0,20.0
63,8.0,10.0,621.0,705.0,84.0
64,10.0,2.0,628.0,713.0,85.0
65,5.0,3.0,638.0,643.0,5.0
66,4.0,8.0,638.0,697.0,59.0
67,5.0,9.0,650.0,686.0,36.0
68,2.0,7.0,650.0,724.0,74.0
69,6.0,9.0,686.0,773.0,87.0
70,9.0,8.0,697.0,710.0,13.0
71,5.0,10.0,705.0,752.0,47.0
72,9.0,6.0,710.0,806.0,96.0
73,10.0,5.0,713.0,747.0,34.0
74,3.0,2.0,713.0,748.0,35.0
75,2.0,8.0,724.0,753.0,29.0
76,8.0,7.0,724.0,782.0,58.0
77,3.0,3.0,748.0,785.0,37.0
78,2.0,10.0,753.0,840.0,87.0
79,10.0,8.0,753.0,848.0,95.0
80,6.0,5.0,773.0,801.0,28.0
81,4.0,9.0,773.0,871.0,98.0
82,5.0,7.0,782.0,818.0,36.0
83,3.0,6.0,806.0,824.0,18.0
84,9.0,4.0,806.0,846.0,40.0
85,3.0,5.0,824.0,872.0,48.0
86,6.0,10.0,840.0,910.0,70.0
87,8.0,8.0,848.0,929.0,81.0
88,3.0,7.0,872.0,963.0,91.0
89,9.0,10.0,910.0,974.0,64.0
90,8.0,9.0,929.0,1025.0,96.0
91,6.0,8.0,929.0,974.0,45.0
92,3.0,8.0,974.0,1026.0,52.0
93,10.0,10.0,974.0,1025.0,51.0
94,9.0,7.0,974.0,1006.0,32.0
95,6.0,6.0,974.0,981.0,7.0
96,10.0,6.0,1025.0,1072.0,47.0
97,9.0,9.0,1025.0,1070.0,45.0
98,3.0,10.0,1026.0,1086.0,60.0
99,3.0,9.0,1086.0,1116.0,30.0
